prioridade,slug,nome,instagram,contato_disponivel,tipo,criterio_priorizacao,canal_recomendado
1,virtuosa,Clínica Virtuosa,@virtuosasantarem,sim (DM/IG),estética,"IG ativo · horário comercial divulgado · estética = alto ticket · provável sem ads",Instagram DM
2,harmonize,Clínica Harmonize Estética,@harmonizestm,sim (DM/IG),estética,"estética Santarém · nicho de alto ticket · IG presente",Instagram DM
3,acclinic,AC Clinic Estética e Harmonização,@acclinic.santarem,sim (DM/IG),estética+harmonização,"harmonização = ticket alto (R$800–3k) · IG ativo",Instagram DM
4,simbolica,Clínica Simbólica,@clinica.simbolica,sim (DM/IG),psicologia+nutrição+fono,"multidisciplinar = múltiplos profissionais = problema de agenda multiplicado",Instagram DM
5,acesso-saude,Clínica Acesso Saúde,@acessosaudesantarem,sim (93 991500461),médica+odontologia,"telefone visível · multi-serviços = dor de agenda alta",WhatsApp
6,clinica-imp,Clínica IMP,@clinica.imp,sim (93 99148-2273),urologia+ginecologia+cirurgia,"especialidades = ticket alto · número disponível",WhatsApp
7,esperanca,Clínica Esperança,@clinicaesperanca.stm,sim (DM/IG),médica geral,"IG presente · médica geral = volume alto de consultas",Instagram DM
8,oromedic,Clínica OroMedic Multidisciplinar,@oromedic.clinica,sim (DM/IG),multidisciplinar,"multidisciplinar = agenda complexa = dor alta",Instagram DM
9,paula-santana,Clínica Estética Paula Santana,@clinicapaulasantana,sim (DM/IG),estética,"estética · IG ativo",Instagram DM
10,ortodonto,Clínica Odontológica Ortodonto,@ortodonto_stm,sim (DM/IG),odontologia,"2 unidades · 15k+ casos = estrutura maior = possível PME Pro",Instagram DM

# Critérios de priorização usados
# 1. Alto ticket (estética, especialidades) = retorno mais rápido no investimento = objeção de preço menor
# 2. IG ativo = dono ou equipe monitora mensagens = resposta mais rápida
# 3. Multi-profissional / multi-serviços = problema de agenda multiplicado = dor mais intensa
# 4. Contato disponível = acesso direto sem intermediário
# 5. Independente (não rede nacional como Bsan/Orthodent) = dono decide = ciclo de venda menor
