slug,nome,instagram,site,telefone,tipo,fonte,observacao
acesso-saude,Clínica Acesso Saúde,@acessosaudesantarem,,93 991500461,médica+odontologia,Instagram,telefone visível no IG
consulta-santarem,Consulta Santarém,@consulta_santarem,,,exames+ultrassom+odonto,Instagram,perfil com reels ativos
clinica-imp,Clínica IMP,@clinica.imp,,93 99148-2273,urologia+ginecologia+cirurgia,Instagram,número visível no IG
medic-brasil,Clinica Medic Brasil,@clinicamedicbr,,,médica geral,Instagram,
oromedic,Clínica OroMedic Multidisciplinar,@oromedic.clinica,,,multidisciplinar,Instagram,
virtuosa,Clínica Virtuosa,@virtuosasantarem,,,estética,Instagram,horário 8h-19h visível
esperanca,Clínica Esperança,@clinicaesperanca.stm,,,médica geral,Instagram,
harmonize,Clínica Harmonize Estética,@harmonizestm,,,estética,Instagram,
esthetic-barroso,Estética Barroso,@estheticbarroso,,,estética,Instagram,
acclinic,AC Clinic Estética e Harmonização,@acclinic.santarem,,,estética+harmonização,Instagram,
paula-santana,Clínica Estética Paula Santana,@clinicapaulasantana,,,estética,Instagram,
ortodonto,Clínica Odontológica Ortodonto,@ortodonto_stm,,,odontologia,Instagram,"15.000+ transformações declaradas, 2 unidades"
inova-odonto,Inova Odonto,@inovaodontosantarem,,,odontologia,Instagram,
meu-dentista,Meu Dentista Santarém,@meudentistastm,,,odontologia,Instagram,10 anos de experiência
simbolica,Clínica Simbólica,@clinica.simbolica,,,psicologia+nutrição+fono,Instagram,multidisciplinar
medsono,MedSono PA,@medsonopa,,,medicina do sono,Instagram,
uniclinica,Uniclínica Odontológica,,uniclinicastm.com.br,,odontologia,Google,site com WhatsApp
clinica-cidadao,Clínica Cidadão,,clinicacidadao.com.br,,médica+odontológica,Google,site institucional
bsan,Bsan Odontologia,,bsan.com.br,,odontologia,Google,rede com unidade em Santarém
orthodent,Orthodent Santarém,,clinicaorthodent.com.br,,ortodontia,Google,rede nacional
